#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Dec 02 20:53:57 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       AFG3000_FPGA_map.ncd
#OUTPUT FILE:      AFG3000_FPGA_pad.csv
#PART TYPE:        xc3s1400a
#SPEED GRADE:      -4
#PACKAGE:          fg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
K9,,,VCCINT,,,,,,,,1.2,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,,
K12,,,GND,,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,,
K14,,DIFFMI_NDT,IP_L35P_1/VREF_1,UNUSED,,1,,,,,,,,,,
K15,,DIFFSI_NDT,IP_L35N_1,UNUSED,,1,,,,,,,,,,
K16,,DIFFSI_NDT,IP_L31N_1,UNUSED,,1,,,,,,,,,,
K17,HC4051_SELs<3>,IOB,IO_L32P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K18,HC4051_SELs<2>,IOB,IO_L32N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K19,CPU_Addr<24>,IBUF,IO_L25N_1/RHCLK7,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
K20,CPU_Addr<23>,IBUF,IO_L25P_1/IRDY1/RHCLK6,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
K21,,,VCCO_1,,,1,,,,,3.30,,,,,
K22,CPU_Addr<8>,IBUF,IO_L26P_1/A10,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
L1,DDR2_DQ<5>,IOBLR,IO_L22N_3/IRDY2/LHCLK3,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
L2,,,GND,,,,,,,,,,,,,
L3,DDR2_DQ<3>,IOBLR,IO_L21N_3/LHCLK1,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
L4,,,VCCAUX,,,,,,,,2.5,,,,,
L5,DDR2_DQ<4>,IOBLR,IO_L21P_3/LHCLK0,BIDIR,SSTL18_II,3,,,NONE**,IBUF,,LOCATED,,YES,NONE,
L6,,,GND,,,,,,,,,,,,,
L7,,DIFFMI_NDT,IP_L19P_3,UNUSED,,3,,,,,,,,,,
L8,,DIFFSI_NDT,IP_L15N_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
L9,,,GND,,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,,
L13,,,GND,,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,,
L15,,DIFFMI_NDT,IP_L31P_1,UNUSED,,1,,,,,,,,,,
L16,,DIFFSI_NDT,IP_L27N_1,UNUSED,,1,,,,,,,,,,
L17,,,GND,,,,,,,,,,,,,
L18,CPU_Addr<22>,IBUF,IO_L28P_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
L19,CPU_Addr<21>,IBUF,IO_L28N_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
L20,CPU_Addr<5>,IBUF,IO_L22N_1/TRDY1/RHCLK3,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
L21,CPU_Addr<7>,IBUF,IO_L22P_1/RHCLK2,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
L22,CPU_Addr<6>,IBUF,IO_L21N_1/RHCLK1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
M1,DDR2_CK,DIFFMLR,IO_L24P_3/LHCLK4,OUTPUT,DIFF_SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
M2,DDR2_CK_N,DIFFSLR,IO_L24N_3/LHCLK5,OUTPUT,DIFF_SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
M3,DDR2_RAS_N,IOBLR,IO_L25P_3/TRDY2/LHCLK6,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
M4,DDR2_CAS_N,IOBLR,IO_L25N_3/LHCLK7,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
M5,DDR2_CS_N,IOBLR,IO_L30P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,NO,NONE,
M6,,DIFFSI_NDT,IP_L23N_3,UNUSED,,3,,,,,,,,,,
M7,,DIFFMI_NDT,IP_L23P_3,UNUSED,,3,,,,,,,,,,
M8,,DIFFSI_NDT,IP_L19N_3,UNUSED,,3,,,,,,,,,,
M9,,,VCCINT,,,,,,,,1.2,,,,,
M10,,,GND,,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,,
M12,,,GND,,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,,
M14,,,GND,,,,,,,,,,,,,
M15,,DIFFMI_NDT,IP_L27P_1/VREF_1,UNUSED,,1,,,,,,,,,,
M16,,DIFFSI_NDT,IP_L23N_1,UNUSED,,1,,,,,,,,,,
M17,,DIFFMI_NDT,IP_L23P_1,UNUSED,,1,,,,,,,,,,
M18,CPU_Addr<19>,IBUF,IO_L24P_1/RHCLK4,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
M19,,,VCCAUX,,,,,,,,2.5,,,,,
M20,CPU_Addr<18>,IBUF,IO_L24N_1/RHCLK5,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
M21,,,GND,,,,,,,,,,,,,
M22,CPU_Addr<4>,IBUF,IO_L21P_1/RHCLK0,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
N1,,DIFFMLR,IO_L26P_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
N2,,,VCCO_3,,,3,,,,,1.80,,,,,
N3,DDR2_CKE,IOBLR,IO_L26N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
N4,DDR2_WE_N,IOBLR,IO_L30N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
N5,,DIFFSI_NDT,IP_L31N_3,UNUSED,,3,,,,,,,,,,
N6,,DIFFMI_NDT,IP_L31P_3,UNUSED,,3,,,,,,,,,,
N7,,DIFFMI_NDT,IP_L35P_3,UNUSED,,3,,,,,,,,,,
N8,,DIFFMI_NDT,IP_L27P_3,UNUSED,,3,,,,,,,,,,
N9,,DIFFSI_NDT,IP_L27N_3,UNUSED,,3,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,,
N11,,,GND,,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,,
N13,,,GND,,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,,
N15,,DIFFMI_NDT,IP_L16P_1,UNUSED,,1,,,,,,,,,,
N16,,DIFFSI_NDT,IP_L16N_1/VREF_1,UNUSED,,1,,,,,,,,,,
N17,CPU_Addr<20>,IBUF,IO_L20N_1/A9,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
N18,CPU_Addr<15>,IBUF,IO_L20P_1/A8,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
N19,CPU_Addr<14>,IBUF,IO_L19N_1/A7,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
N20,CPU_Addr<13>,IBUF,IO_L19P_1/A6,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
N21,CPU_Addr<2>,IBUF,IO_L18N_1/A5,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
N22,CPU_Addr<3>,IBUF,IO_L18P_1/A4,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
P1,DDR2_ODT,IOBLR,IO_L28P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,NO,NONE,
P2,,DIFFSLR,IO_L28N_3,UNUSED,,3,,,,,,,,,,
P3,DDR2_BA<0>,IOBLR,IO_L29P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
P4,,,GND,,,,,,,,,,,,,
P5,,DIFFSLR,IO_L29N_3,UNUSED,,3,,,,,,,,,,
P6,,,VCCO_3,,,3,,,,,1.80,,,,,
P7,,DIFFMI_NDT,IP_L39P_3,UNUSED,,3,,,,,,,,,,
P8,,DIFFSI_NDT,IP_L35N_3,UNUSED,,3,,,,,,,,,,
P9,,,GND,,,,,,,,,,,,,
P10,,,GND,,,,,,,,,,,,,
P11,,,VCCAUX,,,,,,,,2.5,,,,,
P12,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,,
P14,,,GND,,,,,,,,,,,,,
P15,,DIFFMI_NDT,IP_L08P_1,UNUSED,,1,,,,,,,,,,
P16,,DIFFSI_NDT,IP_L08N_1,UNUSED,,1,,,,,,,,,,
P17,,,VCCO_1,,,1,,,,,3.30,,,,,
P18,CPU_Addr<11>,IBUF,IO_L17N_1/A3,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
P19,,,GND,,,,,,,,,,,,,
P20,CPU_Addr<12>,IBUF,IO_L15P_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
P21,,,VCCO_1,,,1,,,,,3.30,,,,,
P22,CPU_Addr<1>,IBUF,IO_L15N_1/VREF_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
R1,DDR2_A<2>,IOBLR,IO_L32P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
R2,DDR2_A<0>,IOBLR,IO_L32N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
R3,DDR2_BA<1>,IOBLR,IO_L33P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
R4,,DIFFSLR,IO_L33N_3,UNUSED,,3,,,,,,,,,,
R5,,DIFFMLR,IO_L34P_3,UNUSED,,3,,,,,,,,,,
R6,,DIFFSI_NDT,IP_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
R7,,DIFFMI_NDT,IP_L46P_3,UNUSED,,3,,,,,,,,,,
R8,,DIFFSI_NDT,IP_L39N_3,UNUSED,,3,,,,,,,,,,
R9,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
R10,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
R11,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
R12,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
R13,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
R14,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
R15,,DIFFMI_NDT,IP_L04P_1,UNUSED,,1,,,,,,,,,,
R16,,DIFFSI_NDT,IP_L04N_1/VREF_1,UNUSED,,1,,,,,,,,,,
R17,,DIFFMI_NDT,IP_L12P_1,UNUSED,,1,,,,,,,,,,
R18,,DIFFSI_NDT,IP_L12N_1/VREF_1,UNUSED,,1,,,,,,,,,,
R19,CPU_Addr<0>,IBUF,IO_L17P_1/A2,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
R20,CPU_Data<15>,IOB,IO_L13P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
R21,CPU_Addr<16>,IBUF,IO_L14P_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
R22,CPU_Addr<17>,IBUF,IO_L14N_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
T1,,DIFFMLR,IO_L36P_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
T2,,,GND,,,,,,,,,,,,,
T3,DDR2_A<10>,IOBLR,IO_L36N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
T4,DDR2_A<1>,IOBLR,IO_L34N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
T5,,DIFFMLR,IO_L40P_3,UNUSED,,3,,,,,,,,,,
T6,,DIFFSI_NDT,IP_L46N_3/VREF_3,UNUSED/VREF,,3,,,,,0.90,,,,,
T7,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
T8,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
T9,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
T10,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
T11,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
T12,,,GND,,,,,,,,,,,,,
T13,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
T14,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
T15,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
T16,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
T17,CPU_Data<1>,IOB,IO_L03P_1/A0,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
T18,CPU_Data<0>,IOB,IO_L03N_1/A1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
T19,CPU_Data<14>,IOB,IO_L13N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
T20,CPU_Data<13>,IOB,IO_L11P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
T21,,,GND,,,,,,,,,,,,,
T22,CPU_Data<8>,IOB,IO_L11N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
U1,DDR2_A<6>,IOBLR,IO_L37P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
U2,DDR2_A<4>,IOBLR,IO_L37N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
U3,DDR2_A<3>,IOBLR,IO_L41P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
U4,DDR2_A<5>,IOBLR,IO_L41N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
U5,,DIFFSLR,IO_L40N_3,UNUSED,,3,,,,,,,,,,
U6,,,GND,,,,,,,,,,,,,
U7,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
U8,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
U9,,,VCCO_2,,,2,,,,,3.30,,,,,
U10,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
U11,,DIFFMTB,IO_L17P_2/GCLK12,UNUSED,,2,,,,,,,,,,
U12,,DIFFSTB,IO_L20N_2/GCLK3,UNUSED,,2,,,,,,,,,,
U13,OUT_PROTECT,IOB,IO_L26N_2/D3,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
U14,,,VCCO_2,,,2,,,,,3.30,,,,,
U15,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
U16,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
U17,,,GND,,,,,,,,,,,,,
U18,,,SUSPEND,,,,,,,,,,,,,
U19,CPU_Data<12>,IOB,IO_L10N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
U20,CPU_Data<11>,IOB,IO_L10P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
U21,CPU_Data<6>,IOB,IO_L09N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
U22,CPU_Data<7>,IOB,IO_L09P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
V1,DDR2_A<11>,IOBLR,IO_L38P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
V2,,,VCCO_3,,,3,,,,,1.80,,,,,
V3,,DIFFSLR,IO_L38N_3,UNUSED,,3,,,,,,,,,,
V4,,DIFFMLR,IO_L43P_3,UNUSED,,3,,,,,,,,,,
V5,,,VCCAUX,,,,,,,,2.5,,,,,
V6,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,,
V7,,IBUF,IP_2,UNUSED,,2,,,,,,,,,,
V8,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,,
V9,,DIFFMTB,IO_L09P_2/RDWR_B,UNUSED,,2,,,,,,,,,,
V10,MOD_SOUT_SEL<2>,IOB,IO_L13P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V11,,DIFFSTB,IO_L17N_2/GCLK13,UNUSED,,2,,,,,,,,,,
V12,,DIFFMTB,IO_L20P_2/GCLK2,UNUSED,,2,,,,,,,,,,
V13,,DIFFMTB,IO_L26P_2/INIT_B,UNUSED,,2,,,,,,,,,,
V14,DAC7821_Data<6>,IOB,IO_L30P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V15,DAC7821_Data<7>,IOB,IO_L30N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V16,Relay_Ctrl_Words<6>,IOB,IO_L31N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V17,Relay_Ctrl_Words<2>,IOB,IO_L33N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V18,,,VCCAUX,,,,,,,,2.5,,,,,
V19,CPU_Data<10>,IOB,IO_L06P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
V20,CPU_Data<9>,IOB,IO_L06N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
V21,,,VCCO_1,,,1,,,,,3.30,,,,,
V22,CPU_Data<5>,IOB,IO_L07N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
W1,DDR2_A<8>,IOBLR,IO_L42P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
W2,DDR2_A<9>,IOBLR,IO_L42N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
W3,,DIFFSLR,IO_L43N_3,UNUSED,,3,,,,,,,,,,
W4,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,,
W5,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,,
W6,,DIFFMTB,IO_L05P_2,UNUSED,,2,,,,,,,,,,
W7,,DIFFMTB,IO_L07P_2,UNUSED,,2,,,,,,,,,,
W8,,DIFFMTB,IO_L11P_2/VS1,UNUSED,,2,,,,,,,,,,
W9,,DIFFSTB,IO_L09N_2/VS2,UNUSED,,2,,,,,,,,,,
W10,,,GND,,,,,,,,,,,,,
W11,,,VCCAUX,,,,,,,,2.5,,,,,
W12,,DIFFMTB,IO_L18P_2/GCLK14,UNUSED,,2,,,,,,,,,,
W13,DAC7821_Data<0>,IOB,IO_L23P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W14,,,GND,,,,,,,,,,,,,
W15,DAC7821_Data<4>,IOB,IO_L25P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W16,,DIFFMTB,IO_L31P_2,UNUSED,,2,,,,,,,,,,
W17,Relay_Ctrl_Words<0>,IOB,IO_L34N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W18,Relay_Ctrl_Words<3>,IOB,IO_L33P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W19,NCS,IBUF,IO_L02P_1/LDC1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
W20,,DIFFSLR,IO_L02N_1/LDC0,UNUSED,,1,,,,,,,,,,
W21,CPU_Data<3>,IOB,IO_L05N_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
W22,CPU_Data<4>,IOB,IO_L07P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,
Y1,DDR2_A<7>,IOBLR,IO_L44P_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
Y2,DDR2_A<12>,IOBLR,IO_L44N_3,OUTPUT,SSTL18_II,3,,,NONE**,,,LOCATED,,YES,NONE,
Y3,,,GND,,,,,,,,,,,,,
Y4,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,,
Y5,,DIFFSTB,IO_L05N_2,UNUSED,,2,,,,,,,,,,
Y6,,DIFFSTB,IO_L07N_2,UNUSED,,2,,,,,,,,,,
Y7,,DIFFMTB,IO_L10P_2,UNUSED,,2,,,,,,,,,,
Y8,,DIFFSTB,IO_L11N_2/VS0,UNUSED,,2,,,,,,,,,,
Y9,,DIFFMTB,IO_L14P_2/D7,UNUSED,,2,,,,,,,,,,
Y10,MOD_SOUT_SEL<1>,IOB,IO_L13N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y11,,DIFFMTB,IO_L16P_2/D5,UNUSED,,2,,,,,,,,,,
Y12,,DIFFSTB,IO_L18N_2/GCLK15,UNUSED,,2,,,,,,,,,,
Y13,,DIFFSTB,IO_L21N_2,UNUSED,,2,,,,,,,,,,
Y14,DAC7821_Data<1>,IOB,IO_L23N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y15,DAC7821_Data<5>,IOB,IO_L25N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y16,DAC7821_Data<9>,IOB,IO_L27N_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y17,DAC7821_Data<11>,IOB,IO_L28N_2/D1,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y18,Relay_Ctrl_Words<1>,IOB,IO_L34P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y19,,,DONE,,,,,,,,,,,,,
Y20,,,GND,,,,,,,,,,,,,
Y21,NRD,IBUF,IO_L01N_1/LDC2,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,,NO,NONE,
Y22,CPU_Data<2>,IOB,IO_L05P_1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,IBUF,,LOCATED,,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
